,videoname,filepath,poi,context,model,label,in_ref,in_tst
0,id00076/00109,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id00076/00109.mp4,id00076,Isiq7cA-DNE,real_A,0,0,1
1,id00076/00109_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id00076/00109_fake.mp4,id00076,Isiq7cA-DNE,rtvc_B,1,0,1
2,id00166/00010,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id00166/00010.mp4,id00166,PQV2ZbJBLNk,real_A,0,0,1
3,id00166/00010_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id00166/00010_fake.mp4,id00166,PQV2ZbJBLNk,rtvc_B,1,0,1
4,id00173/00118,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id00173/00118.mp4,id00173,UHoMXLSjlDo,real_A,0,0,1
5,id00173/00118_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id00173/00118_fake.mp4,id00173,UHoMXLSjlDo,rtvc_B,1,0,1
6,id00366/00118,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id00366/00118.mp4,id00366,RSOgEoek8WM,real_A,0,0,1
7,id00366/00118_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id00366/00118_fake.mp4,id00366,RSOgEoek8WM,rtvc_B,1,0,1
8,id00391/00052,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id00391/00052.mp4,id00391,TjJgUZaenWI,real_A,0,0,1
9,id00391/00052_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id00391/00052_fake.mp4,id00391,TjJgUZaenWI,rtvc_B,1,0,1
10,id00475/00099,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id00475/00099.mp4,id00475,xQjvXRcnPvw,real_A,0,0,1
11,id00475/00099_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id00475/00099_fake.mp4,id00475,xQjvXRcnPvw,rtvc_B,1,0,1
12,id00476/00109,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id00476/00109.mp4,id00476,UgdYVJ6xPYg,real_A,0,0,1
13,id00476/00109_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id00476/00109_fake.mp4,id00476,UgdYVJ6xPYg,rtvc_B,1,0,1
14,id00478/00206,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id00478/00206.mp4,id00478,UOK9hQZm-6k,real_A,0,0,1
15,id00478/00206_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id00478/00206_fake.mp4,id00478,UOK9hQZm-6k,rtvc_B,1,0,1
16,id00518/00031,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id00518/00031.mp4,id00518,qm7oQcDg4oI,real_A,0,0,1
17,id00518/00031_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id00518/00031_fake.mp4,id00518,qm7oQcDg4oI,rtvc_B,1,0,1
18,id00701/00092,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id00701/00092.mp4,id00701,lW6uzLIOwd0,real_A,0,0,1
19,id00701/00092_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id00701/00092_fake.mp4,id00701,lW6uzLIOwd0,rtvc_B,1,0,1
20,id00761/00072,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id00761/00072.mp4,id00761,QtTNFhCCgzw,real_A,0,0,1
21,id00761/00072_fake,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-FakeAudio/African/men/id00761/00072_fake.mp4,id00761,QtTNFhCCgzw,rtvc_B,1,0,1
22,id00781/00092,FakeAVCeleb/FakeAVCeleb_v1.2//RealVideo-RealAudio/African/men/id00781/00092.mp4,id00781,fvsSae9yc0A,real_A,0,0,1
