,Unnamed: 0,videoname,filepath,poi,context,model,label,in_tst,in_ref
0,0,0,InTheWild/release_in_the_wild/0.wav,Alec Guinness,0,spoof,1,1,0
1,1,1,InTheWild/release_in_the_wild/1.wav,Alec Guinness,1,spoof,1,1,0
2,2,2,InTheWild/release_in_the_wild/2.wav,Barack Obama,2,spoof,1,1,0
3,3,3,InTheWild/release_in_the_wild/3.wav,Alec Guinness,3,spoof,1,1,0
4,4,4,InTheWild/release_in_the_wild/4.wav,Christopher Hitchens,4,bona-fide,0,1,1
5,5,5,InTheWild/release_in_the_wild/5.wav,Ayn Rand,5,bona-fide,0,1,1
6,6,6,InTheWild/release_in_the_wild/6.wav,Barack Obama,6,spoof,1,1,0
7,7,7,InTheWild/release_in_the_wild/7.wav,Donald Trump,7,bona-fide,0,1,1
8,8,8,InTheWild/release_in_the_wild/8.wav,Donald Trump,8,bona-fide,0,1,1
9,9,9,InTheWild/release_in_the_wild/9.wav,Alec Guinness,9,bona-fide,0,1,1
10,10,10,InTheWild/release_in_the_wild/10.wav,Bernie Sanders,10,spoof,1,1,0
11,11,11,InTheWild/release_in_the_wild/11.wav,Christopher Hitchens,11,bona-fide,0,1,1
12,12,12,InTheWild/release_in_the_wild/12.wav,Calvin Coolidge,12,bona-fide,0,1,1
13,13,13,InTheWild/release_in_the_wild/13.wav,Alec Guinness,13,spoof,1,1,0
14,14,14,InTheWild/release_in_the_wild/14.wav,Barack Obama,14,bona-fide,0,1,1
15,15,15,InTheWild/release_in_the_wild/15.wav,Bernie Sanders,15,spoof,1,1,0
16,16,16,InTheWild/release_in_the_wild/16.wav,Winston Churchill,16,spoof,1,1,0
17,17,17,InTheWild/release_in_the_wild/17.wav,Winston Churchill,17,spoof,1,1,0
18,18,18,InTheWild/release_in_the_wild/18.wav,Donald Trump,18,bona-fide,0,1,1
19,19,19,InTheWild/release_in_the_wild/19.wav,Bob Ross,19,spoof,1,1,0
20,20,20,InTheWild/release_in_the_wild/20.wav,Donald Trump,20,bona-fide,0,1,1
21,21,21,InTheWild/release_in_the_wild/21.wav,Richard Nixon,21,spoof,1,1,0
22,22,22,InTheWild/release_in_the_wild/22.wav,2Pac,22,bona-fide,0,1,1
23,23,23,InTheWild/release_in_the_wild/23.wav,Donald Trump,23,bona-fide,0,1,1
24,24,24,InTheWild/release_in_the_wild/24.wav,Ronald Reagan,24,spoof,1,1,0
25,25,25,InTheWild/release_in_the_wild/25.wav,Ayn Rand,25,spoof,1,1,0
26,26,26,InTheWild/release_in_the_wild/26.wav,JFK,26,bona-fide,0,1,1
27,27,27,InTheWild/release_in_the_wild/27.wav,Arnold Schwarzenegger,27,bona-fide,0,1,1
28,28,28,InTheWild/release_in_the_wild/28.wav,Nick Offerman,28,bona-fide,0,1,1
29,29,29,InTheWild/release_in_the_wild/29.wav,Bill Clinton,29,bona-fide,0,1,1
30,30,30,InTheWild/release_in_the_wild/30.wav,Martin Luther King,30,bona-fide,0,1,1
31,31,31,InTheWild/release_in_the_wild/31.wav,Bill Burr,31,spoof,1,1,0
32,32,32,InTheWild/release_in_the_wild/32.wav,Ronald Reagan,32,spoof,1,1,0
33,33,33,InTheWild/release_in_the_wild/33.wav,Bill Clinton,33,bona-fide,0,1,1
34,34,34,InTheWild/release_in_the_wild/34.wav,Alec Guinness,34,spoof,1,1,0
35,35,35,InTheWild/release_in_the_wild/35.wav,Ayn Rand,35,spoof,1,1,0
36,36,36,InTheWild/release_in_the_wild/36.wav,Christopher Hitchens,36,bona-fide,0,1,1
37,37,37,InTheWild/release_in_the_wild/37.wav,Ronald Reagan,37,bona-fide,0,1,1
38,38,38,InTheWild/release_in_the_wild/38.wav,Barack Obama,38,bona-fide,0,1,1
39,39,39,InTheWild/release_in_the_wild/39.wav,Christopher Hitchens,39,bona-fide,0,1,1
40,40,40,InTheWild/release_in_the_wild/40.wav,Christopher Hitchens,40,spoof,1,1,0
41,41,41,InTheWild/release_in_the_wild/41.wav,Donald Trump,41,spoof,1,1,0
42,42,42,InTheWild/release_in_the_wild/42.wav,Bernie Sanders,42,spoof,1,1,0
43,43,43,InTheWild/release_in_the_wild/43.wav,Ayn Rand,43,spoof,1,1,0
44,44,44,InTheWild/release_in_the_wild/44.wav,Bernie Sanders,44,bona-fide,0,1,1
45,45,45,InTheWild/release_in_the_wild/45.wav,Mark Zuckerberg,45,bona-fide,0,1,1
46,46,46,InTheWild/release_in_the_wild/46.wav,Alec Guinness,46,bona-fide,0,1,1
47,47,47,InTheWild/release_in_the_wild/47.wav,Alec Guinness,47,spoof,1,1,0
48,48,48,InTheWild/release_in_the_wild/48.wav,Richard Nixon,48,bona-fide,0,1,1
49,49,49,InTheWild/release_in_the_wild/49.wav,Barack Obama,49,bona-fide,0,1,1
50,50,50,InTheWild/release_in_the_wild/50.wav,George W. Bush,50,spoof,1,1,0
51,51,51,InTheWild/release_in_the_wild/51.wav,Dave Chappelle,51,bona-fide,0,1,1
52,52,52,InTheWild/release_in_the_wild/52.wav,Bernie Sanders,52,bona-fide,0,1,1
53,53,53,InTheWild/release_in_the_wild/53.wav,Boris Johnson,53,bona-fide,0,1,1
54,54,54,InTheWild/release_in_the_wild/54.wav,Martin Luther King,54,bona-fide,0,1,1
55,55,55,InTheWild/release_in_the_wild/55.wav,Bill Clinton,55,bona-fide,0,1,1
56,56,56,InTheWild/release_in_the_wild/56.wav,JFK,56,bona-fide,0,1,1
57,57,57,InTheWild/release_in_the_wild/57.wav,Alan Watts,57,spoof,1,1,0
58,58,58,InTheWild/release_in_the_wild/58.wav,Mark Zuckerberg,58,bona-fide,0,1,1
59,59,59,InTheWild/release_in_the_wild/59.wav,Louis C.K.,59,spoof,1,1,0
60,60,60,InTheWild/release_in_the_wild/60.wav,The Notorious B.I.G.,60,spoof,1,1,0
61,61,61,InTheWild/release_in_the_wild/61.wav,Alec Guinness,61,spoof,1,1,0
