videoname,poi,context,value
0,Alec Guinness,0,0.06243896484375
1,Alec Guinness,1,0.05206298828125
2,Barack Obama,2,0.03070068359375
3,Alec Guinness,3,0.029296875
4,Christopher Hitchens,4,0.049041748046875
5,Ayn Rand,5,0.042449951171875
6,Barack Obama,6,0.0479736328125
7,Donald Trump,7,0.0303497314453125
8,Donald Trump,8,0.03271484375
9,Alec Guinness,9,0.0328369140625
10,Bernie Sanders,10,0.0794677734375
11,Christopher Hitchens,11,0.046356201171875
12,Calvin Coolidge,12,0.00734710693359375
13,Alec Guinness,13,0.066162109375
14,Barack Obama,14,0.06573486328125
15,Bernie Sanders,15,0.06585693359375
16,Winston Churchill,16,0.057281494140625
17,Winston Churchill,17,0.037689208984375
18,Donald Trump,18,0.08636474609375
19,Bob Ross,19,0.0655517578125
20,Donald Trump,20,0.040283203125
21,Richard Nixon,21,0.054656982421875
22,2Pac,22,0.07318115234375
23,Donald Trump,23,0.054718017578125
24,Ronald Reagan,24,0.04388427734375
25,Ayn Rand,25,0.0714111328125
26,JFK,26,0.0187835693359375
27,Arnold Schwarzenegger,27,0.016021728515625
28,Nick Offerman,28,0.2369384765625
29,Bill Clinton,29,0.0165252685546875
30,Martin Luther King,30,0.062225341796875
31,Bill Burr,31,0.0831298828125
32,Ronald Reagan,32,0.047088623046875
33,Bill Clinton,33,0.02716064453125
34,Alec Guinness,34,0.03424072265625
35,Ayn Rand,35,0.065185546875
36,Christopher Hitchens,36,0.06317138671875
37,Ronald Reagan,37,0.06298828125
38,Barack Obama,38,0.059539794921875
39,Christopher Hitchens,39,0.08953857421875
40,Christopher Hitchens,40,0.0814208984375
41,Donald Trump,41,0.0684814453125
42,Bernie Sanders,42,0.059539794921875
43,Ayn Rand,43,0.07647705078125
44,Bernie Sanders,44,0.0303802490234375
45,Mark Zuckerberg,45,0.0161285400390625
46,Alec Guinness,46,0.022796630859375
47,Alec Guinness,47,0.07623291015625
48,Richard Nixon,48,0.047760009765625
49,Barack Obama,49,0.036041259765625
50,George W. Bush,50,0.06640625
51,Dave Chappelle,51,0.01708984375
52,Bernie Sanders,52,0.025146484375
53,Boris Johnson,53,0.061981201171875
54,Martin Luther King,54,0.0780029296875
55,Bill Clinton,55,0.05584716796875
56,JFK,56,0.033050537109375
57,Alan Watts,57,0.06585693359375
58,Mark Zuckerberg,58,0.044189453125
59,Louis C.K.,59,0.11956787109375
60,The Notorious B.I.G.,60,0.07391357421875
61,Alec Guinness,61,0.0765380859375
62,Ronald Reagan,62,0.07281494140625
63,Ayn Rand,63,0.07879638671875
64,Ayn Rand,64,0.024444580078125
65,Mark Zuckerberg,65,0.0343017578125
66,Barack Obama,66,0.185791015625
67,Bernie Sanders,67,0.021270751953125
68,Bernie Sanders,68,0.070068359375
69,Bernie Sanders,69,0.0694580078125
70,Alan Watts,70,0.09295654296875
71,Jimmy Carter,71,0.0248565673828125
72,Barack Obama,72,0.034210205078125
73,Bill Clinton,73,0.056640625
74,Christopher Hitchens,74,0.049652099609375
75,Winston Churchill,75,0.0263824462890625
76,Bill Clinton,76,0.109130859375
77,Alec Guinness,77,0.06787109375
78,Dwight Eisenhower,78,0.0268096923828125
79,2Pac,79,0.10382080078125
80,Donald Trump,80,0.032806396484375
81,Bernie Sanders,81,0.10699462890625
82,Alec Guinness,82,0.056640625
83,Bill Clinton,83,0.0228271484375
84,Bernie Sanders,84,0.035247802734375
85,Bernie Sanders,85,0.03814697265625
86,Alec Guinness,86,0.047454833984375
87,Alec Guinness,87,0.033416748046875
88,Ronald Reagan,88,0.0711669921875
89,Barack Obama,89,0.0287933349609375
90,Donald Trump,90,0.04541015625
91,Bill Clinton,91,0.0806884765625
92,Mitch Hedberg,92,0.10797119140625
93,Ayn Rand,93,0.041961669921875
94,Barack Obama,94,0.035797119140625
95,Bill Clinton,95,0.0189666748046875
96,Alec Guinness,96,0.06854248046875
97,Barack Obama,97,0.026275634765625
98,Bernie Sanders,98,0.1995849609375
99,Bill Burr,99,0.07550048828125
100,Alexandria Ocasio-Cortez,100,0.03131103515625
101,Christopher Hitchens,101,0.06793212890625
102,Milton Friedman,102,0.01910400390625
103,Bernie Sanders,103,0.05853271484375
104,Bernie Sanders,104,0.0307769775390625
105,Christopher Hitchens,105,0.057830810546875
106,FDR,106,0.056121826171875
107,Alec Guinness,107,0.060791015625
108,Donald Trump,108,0.04779052734375
109,Arnold Schwarzenegger,109,0.05230712890625
110,Milton Friedman,110,0.09259033203125
111,Barack Obama,111,0.061431884765625
112,Barack Obama,112,0.0266571044921875
113,Donald Trump,113,0.044189453125
114,Ayn Rand,114,0.064453125
115,Bill Clinton,115,0.08123779296875
