videoname,poi,context,value
0,Alec Guinness,0,0.041748046875
1,Alec Guinness,1,0.03851318359375
2,Barack Obama,2,0.0206298828125
3,Alec Guinness,3,0.02301025390625
4,Christopher Hitchens,4,0.037872314453125
5,Ayn Rand,5,0.01555633544921875
6,Barack Obama,6,0.0279998779296875
7,Donald Trump,7,0.017425537109375
8,Donald Trump,8,0.016876220703125
9,Alec Guinness,9,0.0166473388671875
10,Bernie Sanders,10,0.05511474609375
11,Christopher Hitchens,11,0.0191650390625
12,Calvin Coolidge,12,0.00978851318359375
13,Alec Guinness,13,0.0426025390625
14,Barack Obama,14,0.04443359375
15,Bernie Sanders,15,0.04827880859375
16,Winston Churchill,16,0.048126220703125
17,Winston Churchill,17,0.036529541015625
18,Donald Trump,18,0.025421142578125
19,Bob Ross,19,0.061737060546875
20,Donald Trump,20,0.0279541015625
21,Richard Nixon,21,0.03997802734375
22,2Pac,22,0.04705810546875
23,Donald Trump,23,0.02496337890625
24,Ronald Reagan,24,0.043426513671875
25,Ayn Rand,25,0.05389404296875
26,JFK,26,0.019439697265625
27,Arnold Schwarzenegger,27,0.0147705078125
28,Nick Offerman,28,0.06646728515625
29,Bill Clinton,29,0.0152435302734375
30,Martin Luther King,30,0.03338623046875
31,Bill Burr,31,0.04876708984375
32,Ronald Reagan,32,0.046539306640625
33,Bill Clinton,33,0.0155487060546875
34,Alec Guinness,34,0.0283660888671875
35,Ayn Rand,35,0.0479736328125
36,Christopher Hitchens,36,0.0325927734375
37,Ronald Reagan,37,0.020050048828125
38,Barack Obama,38,0.032012939453125
39,Christopher Hitchens,39,0.06915283203125
40,Christopher Hitchens,40,0.07171630859375
41,Donald Trump,41,0.047332763671875
42,Bernie Sanders,42,0.0499267578125
43,Ayn Rand,43,0.055999755859375
44,Bernie Sanders,44,0.0204315185546875
45,Mark Zuckerberg,45,0.0171051025390625
46,Alec Guinness,46,0.0160675048828125
47,Alec Guinness,47,0.05126953125
48,Richard Nixon,48,0.041778564453125
49,Barack Obama,49,0.0153961181640625
50,George W. Bush,50,0.04962158203125
51,Dave Chappelle,51,0.02325439453125
52,Bernie Sanders,52,0.00885772705078125
53,Boris Johnson,53,0.034149169921875
54,Martin Luther King,54,0.049072265625
55,Bill Clinton,55,0.0302581787109375
56,JFK,56,0.0260467529296875
57,Alan Watts,57,0.059783935546875
58,Mark Zuckerberg,58,0.0302276611328125
59,Louis C.K.,59,0.0848388671875
60,The Notorious B.I.G.,60,0.0897216796875
61,Alec Guinness,61,0.05560302734375
62,Ronald Reagan,62,0.06719970703125
63,Ayn Rand,63,0.060516357421875
64,Ayn Rand,64,0.0148162841796875
65,Mark Zuckerberg,65,0.032867431640625
66,Barack Obama,66,0.04949951171875
67,Bernie Sanders,67,0.0159149169921875
68,Bernie Sanders,68,0.051513671875
69,Bernie Sanders,69,0.054901123046875
70,Alan Watts,70,0.054412841796875
71,Jimmy Carter,71,0.02667236328125
72,Barack Obama,72,0.0167388916015625
73,Bill Clinton,73,0.040252685546875
74,Christopher Hitchens,74,0.029754638671875
75,Winston Churchill,75,0.0240478515625
76,Bill Clinton,76,0.0767822265625
77,Alec Guinness,77,0.0535888671875
78,Dwight Eisenhower,78,0.022979736328125
79,2Pac,79,0.07611083984375
80,Donald Trump,80,0.0198211669921875
81,Bernie Sanders,81,0.06048583984375
82,Alec Guinness,82,0.03948974609375
